"player_id","season","first_name","last_name","player_name.x","position","height_wo_shoes","height_wo_shoes_ft_in","height_w_shoes","height_w_shoes_ft_in","weight","wingspan","wingspan_ft_in","standing_reach","standing_reach_ft_in","body_fat_pct","hand_length","hand_width","standing_vertical_leap","max_vertical_leap","lane_agility_time","modified_lane_agility_time","three_quarter_sprint","bench_press","player_name.y","round_number","round_pick","overall_pick","draft_type","team_id","team_city","team_name","team_abbreviation","organization","organization_type","player_profile_flag"
202342,2010,"Craig","Brackins","Craig Brackins","PF-SF",80.5,"6' 8.5''",81.75,"6' 9.75''",229,84,"7' 0''",109,"9' 1''",7.9,9.5,11.25,26,35,11.65,NA,3.39,6,"Craig Brackins",1,21,21,"Draft",1610612760,"Oklahoma City","Thunder","OKC","Iowa State","College/University",1
202344,2010,"Trevor","Booker","Trevor Booker","PF",78.25,"6' 6.25''",79.5,"6' 7.5''",235.8,81.75,"6' 9.75''",106,"8' 10''",7.3,9,9.5,31,36,11.15,NA,3.1,22,"Trevor Booker",1,23,23,"Draft",1610612750,"Minnesota","Timberwolves","MIN","Clemson","College/University",1
202345,2010,"Damion","James","Damion James","SF",78.25,"6' 6.25''",79.75,"6' 7.75''",226.6,84.75,"7' 0.75''",107,"8' 11''",9.6,9.25,8.5,29,33,10.89,NA,3.2,13,"Damion James",1,24,24,"Draft",1610612737,"Atlanta","Hawks","ATL","Texas","College/University",1
202346,2010,"Dominique","Jones","Dominique Jones","SG",75.25,"6' 3.25''",77,"6' 5''",216,81.25,"6' 9.25''",101,"8' 5''",5.9,9,10.25,26,32.5,10.88,NA,3.31,19,"Dominique Jones",1,25,25,"Draft",1610612763,"Memphis","Grizzlies","MEM","South Florida","College/University",1
202348,2010,"Jordan","Crawford","Jordan Crawford","SG",75,"6' 3''",76.5,"6' 4.5''",198.4,79,"6' 7''",101,"8' 5''",4.9,8,9,31.5,34.5,11.03,NA,3.37,7,"Jordan Crawford",1,27,27,"Draft",1610612751,"New Jersey","Nets","NJN","Xavier","College/University",1
202349,2010,"Greivis","Vasquez","Greivis Vasquez","PG-SG",77,"6' 5''",78.5,"6' 6.5''",210.8,79,"6' 7''",101,"8' 5''",8.6,7.75,9.25,NA,NA,NA,NA,NA,NA,"Greivis Vasquez",1,28,28,"Draft",1610612763,"Memphis","Grizzlies","MEM","Maryland","College/University",1
202350,2010,"Daniel","Orton","Daniel Orton","C",80.75,"6' 8.75''",81.5,"6' 9.5''",269.2,88.25,"7' 4.25''",110.5,"9' 2.5''",13.8,8.5,9.75,24,30.5,12.32,NA,3.39,13,"Daniel Orton",1,29,29,"Draft",1610612753,"Orlando","Magic","ORL","Kentucky","College/University",1
202351,2010,"Lazar","Hayward","Lazar Hayward","SG-SF",76.5,"6' 4.5''",77.75,"6' 5.75''",225.8,84.75,"7' 0.75''",102,"8' 6''",7.5,9.25,9.5,31,36,10.87,NA,3.31,15,"Lazar Hayward",1,30,30,"Draft",1610612764,"Washington","Wizards","WAS","Marquette","College/University",1
202354,2010,"Dexter","Pittman","Dexter Pittman","PF-C",81.5,"6' 9.5''",83.5,"6' 11.5''",302.6,90,"7' 6''",111,"9' 3''",20.8,10.25,10.5,NA,NA,NA,NA,NA,NA,"Dexter Pittman",2,2,32,"Draft",1610612748,"Miami","Heat","MIA","Texas","College/University",1
202355,2010,"Hassan","Whiteside","Hassan Whiteside","C-PF",82.5,"6' 10.5''",83.5,"6' 11.5''",226.6,91,"7' 7''",113,"9' 5''",5.5,8.25,10.25,27,31.5,11.83,NA,3.54,12,"Hassan Whiteside",2,3,33,"Draft",1610612758,"Sacramento","Kings","SAC","Marshall","College/University",1
202356,2010,"Armon","Johnson","Armon Johnson","PG-SG",74,"6' 2''",75.25,"6' 3.25''",195.2,80,"6' 8''",99.5,"8' 3.5''",5.6,8.25,9.25,31.5,38.5,11.25,NA,3.19,18,"Armon Johnson",2,4,34,"Draft",1610612757,"Portland","Trail Blazers","POR","Nevada-Reno","College/University",1
202358,2010,"Terrico","White","Terrico White","SG-PG",75.75,"6' 3.75''",77,"6' 5''",202.6,81,"6' 9''",101,"8' 5''",3.7,9,10.5,31,40,11.38,NA,3.15,10,"Terrico White",2,6,36,"Draft",1610612765,"Detroit","Pistons","DET","Mississippi","College/University",1
202359,2010,"Darington","Hobson","Darington Hobson","SG-SF",77.25,"6' 5.25''",78.5,"6' 6.5''",203.6,81.25,"6' 9.25''",104.5,"8' 8.5''",6.2,8.25,9,29,34,11.68,NA,3.25,NA,"Darington Hobson",2,7,37,"Draft",1610612749,"Milwaukee","Bucks","MIL","New Mexico","College/University",1
202360,2010,"Andy","Rautins","Andy Rautins","SG",76.25,"6' 4.25''",77,"6' 5''",191.6,79,"6' 7''",100,"8' 4''",6.2,8,9.75,23.5,30.5,11.27,NA,3.49,8,"Andy Rautins",2,8,38,"Draft",1610612752,"New York","Knicks","NYK","Syracuse","College/University",1
202362,2010,"Lance","Stephenson","Lance Stephenson","SG",76.5,"6' 4.5''",77.75,"6' 5.75''",227,82.5,"6' 10.5''",103,"8' 7''",9.3,9,10.25,27,33,11.39,NA,3.38,10,"Lance Stephenson",2,10,40,"Draft",1610612754,"Indiana","Pacers","IND","Cincinnati","College/University",1
202365,2010,"Devin","Ebanks","Devin Ebanks","SF",79,"6' 7''",80.25,"6' 8.25''",207.8,84.25,"7' 0.25''",107.5,"8' 11.5''",7.9,8.25,9,23.5,32,11.69,NA,3.44,6,"Devin Ebanks",2,13,43,"Draft",1610612747,"Los Angeles","Lakers","LAL","West Virginia","College/University",1
202371,2010,"Gani","Lawal","Gani Lawal","PF",79.5,"6' 7.5''",81,"6' 9''",233.4,84,"7' 0''",107.5,"8' 11.5''",6.3,8.5,10,27,31.5,11.61,NA,3.24,20,"Gani Lawal",2,16,46,"Draft",1610612756,"Phoenix","Suns","PHX","Georgia Tech","College/University",1
202374,2010,"Solomon","Alabi","Solomon Alabi","C",83.5,"6' 11.5''",84.75,"7' 0.75''",237.4,89,"7' 5''",113,"9' 5''",5,9.25,9.25,22.5,26,13.2,NA,3.68,10,"Solomon Alabi",2,20,50,"Draft",1610612742,"Dallas","Mavericks","DAL","Florida State","College/University",1
202376,2010,"Luke","Harangody","Luke Harangody","PF",78,"6' 6''",79.75,"6' 7.75''",240.2,81.5,"6' 9.5''",106,"8' 10''",11.1,8.75,9.75,24,28.5,11.83,NA,3.41,23,"Luke Harangody",2,22,52,"Draft",1610612738,"Boston","Celtics","BOS","Notre Dame","College/University",1
202378,2010,"Willie","Warren","Willie Warren","SG-PG",74.5,"6' 2.5''",75.75,"6' 3.75''",208.4,78,"6' 6''",99.5,"8' 3.5''",7.6,8.5,9.5,23,31.5,11.21,NA,3.5,10,"Willie Warren",2,24,54,"Draft",1610612746,"Los Angeles","Clippers","LAC","Oklahoma","College/University",1
202382,2010,"Derrick","Caracter","Derrick Caracter","PF",80.25,"6' 8.25''",81.5,"6' 9.5''",280,84.25,"7' 0.25''",107.5,"8' 11.5''",12.8,9,10.25,25,30.5,12.78,NA,3.61,22,"Derrick Caracter",2,28,58,"Draft",1610612747,"Los Angeles","Lakers","LAL","Texas-El Paso","College/University",1
202383,2010,"Stanley","Robinson","Stanley Robinson","SF",78.5,"6' 6.5''",79.75,"6' 7.75''",213.2,84,"7' 0''",107.5,"8' 11.5''",8.3,9,9,NA,37.5,11.65,NA,3.23,6,"Stanley Robinson",2,29,59,"Draft",1610612753,"Orlando","Magic","ORL","Connecticut","College/University",1
202681,2011,"Kyrie","Irving","Kyrie Irving","PG",73.75,"6' 1.75''",75.5,"6' 3.5''",191,76,"6' 4''",99,"8' 3''",10.2,8.25,9.25,NA,NA,NA,NA,NA,NA,"Kyrie Irving",1,1,1,"Draft",1610612739,"Cleveland","Cavaliers","CLE","Duke","College/University",1
202682,2011,"Derrick","Williams","Derrick Williams","PF-SF",79.25,"6' 7.25''",80.75,"6' 8.75''",248.4,85.5,"7' 1.5''",108,"9' 0''",10.8,9,9.75,29,34.5,11.03,NA,3.23,19,"Derrick Williams",1,2,2,"Draft",1610612750,"Minnesota","Timberwolves","MIN","Arizona","College/University",1
202683,2011,"Enes","Kanter","Enes Kanter","PF-C",81.75,"6' 9.75''",83.25,"6' 11.25''",259.2,85.5,"7' 1.5''",109.5,"9' 1.5''",5.9,9.5,10.75,26,32.5,11.3,NA,3.26,14,"Enes Freedom",1,3,3,"Draft",1610612762,"Utah","Jazz","UTA","Kentucky","College/University",1
202684,2011,"Tristan","Thompson","Tristan Thompson","PF",79.5,"6' 7.5''",80.75,"6' 8.75''",227.4,85.25,"7' 1.25''",108.5,"9' 0.5''",6.2,8.75,9.25,30,35,10.92,NA,3.26,9,"Tristan Thompson",1,4,4,"Draft",1610612739,"Cleveland","Cavaliers","CLE","Texas","College/University",1
202688,2011,"Brandon","Knight","Brandon Knight","PG",73.5,"6' 1.5''",75.25,"6' 3.25''",176.8,78.75,"6' 6.75''",98.5,"8' 2.5''",4.2,8.25,9.5,29,37.5,10.74,NA,3.07,10,"Brandon Knight",1,8,8,"Draft",1610612765,"Detroit","Pistons","DET","Kentucky","College/University",1
202689,2011,"Kemba","Walker","Kemba Walker","PG",71.5,"5' 11.5''",73,"6' 1''",184,75.5,"6' 3.5''",91.5,"7' 7.5''",5.9,8,9,32,39.5,10.87,NA,3.16,7,"Kemba Walker",1,9,9,"Draft",1610612766,"Charlotte","Bobcats","CHA","Connecticut","College/University",1
