"season","position","height_wo_shoes","weight","wingspan","standing_reach","max_vertical_leap","body_fat_pct","hand_length","hand_width","standing_vertical_leap","max_vertical_leap.1","lane_agility_time","three_quarter_sprint","bench_press"
2017,1,73,192.4,81.25,99.5,35.5,6.4,8.5,8.75,33,35.5,11.24,3.15,7
2018,2,75,198,79.25,97,40.5,5.55,8.25,10,32.5,40.5,10.31,3.15,NA
2018,4,81,194.8,86.25,110,35,5,9.25,9.5,29.5,35,12.48,3.21,0
2020,5,82,259.5,91.25,109,41,9.61,9.25,10,37,41,11.82,3.23,NA
2018,5,83.25,225.6,94,115.5,NA,6.2,9.75,10.25,NA,NA,NA,NA,NA
2018,2,79.25,223.8,87.25,106.5,35,5.35,9,8.5,30.5,35,11.2,3.17,11
2018,3,79.25,223.8,87.25,106.5,35,5.35,9,8.5,30.5,35,11.2,3.17,11
2018,3,77.25,220.4,81.5,103.5,NA,5.9,9,9.75,NA,NA,NA,NA,NA
2018,2,75.5,194.6,81,98.5,38,3.75,8.5,8.5,32.5,38,11.11,3.2,17
2018,1,75.5,194.6,81,98.5,38,3.75,8.5,8.5,32.5,38,11.11,3.2,17
2018,3,77.75,208,82.25,105,33,7.05,9,9.75,26,33,11.51,3.33,5
2018,1,73,198.4,76,96,37,6.7,8.25,9.25,29,37,10.59,3.15,7
2018,1,75,198.8,80.25,100,31.5,6.5,8.5,9.75,25,31.5,11.89,3.17,0
2018,1,72.25,196.2,76.25,95,36.5,4.15,9.25,8.5,29,36.5,11.04,3.18,14
2018,5,80.75,251.4,88.5,109,NA,7.85,8.5,9,NA,NA,NA,NA,NA
2018,4,80.75,251.4,88.5,109,NA,7.85,8.5,9,NA,NA,NA,NA,NA
2018,2,76.25,197,83.5,103,40.5,4.45,8.75,9,32.5,40.5,10.53,3.1,1
2018,2,75.5,200.6,78,97.5,42,5,8.25,9,34.5,42,10.72,3.11,12
2018,2,76.25,199.6,81.25,102.5,35.5,6.5,9,9.25,28,35.5,11.11,3.2,8
2018,3,76.25,199.6,81.25,102.5,35.5,6.5,9,9.25,28,35.5,11.11,3.2,8
2019,5,80.75,237,87.25,110,33.5,5.4,9.25,10,29.5,33.5,11.29,3.21,13
2018,3,76.5,198.2,85.75,105,40.5,7.9,9.5,9.5,31,40.5,11.24,3.08,0
2018,2,76.5,198.2,85.75,105,40.5,7.9,9.5,9.5,31,40.5,11.24,3.08,0
2018,1,76.5,180,83.5,104,NA,3,9,9,NA,NA,NA,NA,NA
2018,1,72.25,186.4,78.25,96,37,4.8,8.5,9.5,31,37,11.28,3.21,14
2018,2,76.25,206.4,79.75,102,31,8.45,8.5,10,25,31,10.95,3.27,6
2019,1,73.5,180.4,77.5,97,41.5,5.1,8,8.25,33,41.5,10.73,3.12,6
2018,4,78.5,211.6,87.5,107,32,5.15,9.25,10.25,27.5,32,11.28,3.36,4
2018,1,71.75,187,79.5,97,33,6.4,8.75,8.5,25.5,33,10.96,3.27,NA
2018,2,78.25,194,79.5,101.5,38,8.6,8.25,8.5,31,38,10.89,3.09,9
2018,4,81.75,236,89.25,110,NA,7.2,10,10,NA,NA,NA,NA,NA
2018,5,81.75,236,89.25,110,NA,7.2,10,10,NA,NA,NA,NA,NA
2018,4,78,229.4,87,105,NA,8.9,9,9.5,NA,NA,NA,NA,NA
2018,4,79.25,216.6,80.75,103,31,8.1,8.5,9.75,25,31,11.83,3.38,8
2018,3,76.75,218.6,83.5,101.5,39,7.25,9,10.25,31,39,10.75,3.29,15
2018,2,76.75,218.6,83.5,101.5,39,7.25,9,10.25,31,39,10.75,3.29,15
2018,3,79.75,212.6,83.75,108,NA,4.95,8.75,9.25,NA,NA,NA,NA,NA
2019,1,76.75,192.2,82.25,102.5,35.5,5,8.25,9,28,35.5,10.44,3.32,7
2019,2,76.75,192.2,82.25,102.5,35.5,5,8.25,9,28,35.5,10.44,3.32,7
2018,2,74.25,193.2,80.5,99.5,36.5,5.2,8.5,9.5,31,36.5,11.48,3.23,1
2018,1,74.25,193.2,80.5,99.5,36.5,5.2,8.5,9.5,31,36.5,11.48,3.23,1
2018,4,80.5,219.6,84.5,108,36,5.05,9,9.25,29.5,36,11.89,3.33,5
2018,5,80.5,219.6,84.5,108,36,5.05,9,9.25,29.5,36,11.89,3.33,5
2018,2,76.5,207.2,84.75,99.5,33,6.8,8.75,9.5,30,33,11.07,3.25,2
2018,1,76.5,207.2,84.75,99.5,33,6.8,8.75,9.5,30,33,11.07,3.25,2
2018,2,78.5,211.6,76.75,100,37,8.45,8.25,9.5,30.5,37,11.25,3.15,4
2018,3,78.5,211.6,76.75,100,37,8.45,8.25,9.5,30.5,37,11.25,3.15,4
2018,2,75,210.8,84,102,42,5.2,9,9.75,33,42,11.08,3.04,12
2018,3,81.5,211,84.25,108.5,NA,6.4,8.75,9.25,NA,NA,NA,NA,NA
2018,4,81.5,211,84.25,108.5,NA,6.4,8.75,9.25,NA,NA,NA,NA,NA
2018,2,76,188.4,79.25,98,NA,6.05,9,10,NA,NA,NA,NA,NA
2018,1,72.5,183,79.25,98.5,NA,5.6,8.25,8.5,NA,NA,NA,NA,NA
2018,1,76,188.6,78.75,100,39.5,4.85,8,9,31,39.5,11.26,3.11,8
2018,2,74.25,183.2,81.25,99.5,41.5,7.7,8.75,9,32,41.5,11.27,3.1,1
2018,1,74.25,183.2,81.25,99.5,41.5,7.7,8.75,9,32,41.5,11.27,3.1,1
2018,3,74.75,198.6,81.75,100,41.5,6.05,8.75,8.25,33,41.5,11.02,3.05,10
2018,2,74.75,198.6,81.75,100,41.5,6.05,8.75,8.25,33,41.5,11.02,3.05,10
2018,4,80,253.8,86,107.5,35.5,13.75,9,9,28.5,35.5,12.28,3.38,8
2018,5,80,253.8,86,107.5,35.5,13.75,9,9,28.5,35.5,12.28,3.38,8
2018,2,74.5,198.8,82.5,101,35,6.4,8.75,9.25,30,35,10.96,3.18,14
2018,2,76.25,204.2,80.75,98,39.5,7,8.5,9.5,33.5,39.5,11.37,3.12,12
2018,5,82.5,241.4,84,108,34,6.75,9,10.75,27,34,11.48,3.18,8
2018,4,82.5,241.4,84,108,34,6.75,9,10.75,27,34,11.48,3.18,8
